emotion,quote
happiness,Happiness depends upon ourselves.
happiness,Smile more, worry less.
happiness,Enjoy every moment of life.
sadness,This too shall pass.
sadness,Every storm runs out of rain.
sadness,Stay strong, better days are coming.
anger,Take a deep breath and let go.
anger,Anger doesn't solve anything.
anger,Stay calm and think clearly.
love,Love is the greatest power.
love,You are loved more than you know.
love,Love brings peace to the heart.
neutral,Stay calm and focused.
neutral,Keep going step by step.
neutral,Consistency is key to success.
surprise,Life is full of surprises.
surprise,Expect the unexpected.
fun,Enjoy the little things.
fun,Laughter is the best medicine.
enthusiasm,Stay excited about your goals.
enthusiasm,Energy creates success.
hate,Let go of negativity.
hate,Choose peace over hate.
sadness,You are stronger than you think.
happiness,Good things are coming.
